date,tot_cases,tot_cases_conf,tot_cases_prob,tot_deaths,tot_deaths_conf,tot_deaths_prob,new_cases,new_deaths,audit_deaths,new_cases_conf,new_cases_prob,new_deaths_conf,new_deaths_prob,new_cases_18_and_under,new_cases_18_and_under_conf,new_cases_18_and_under_prob,actual_deaths
2021-07-27,477882,357829.0,120053.0,7323.0,6563.0,760.0,1273.0,4.0,,694.0,579.0,3.0,1.0,251.0,132.0,119.0,4.0
2021-07-26,476650,357153.0,119497.0,7319.0,6560.0,759.0,783.0,2.0,,555.0,228.0,2.0,0.0,174.0,117.0,57.0,2.0
2021-07-25,475878,356596.0,119282.0,7317.0,6558.0,759.0,504.0,2.0,,421.0,83.0,2.0,0.0,111.0,90.0,21.0,2.0
2021-07-24,475374,356175.0,119199.0,7315.0,6556.0,759.0,974.0,3.0,,586.0,388.0,1.0,2.0,220.0,132.0,88.0,3.0
2021-07-23,474444,355629.0,118815.0,7312.0,6555.0,757.0,994.0,4.0,,654.0,340.0,4.0,0.0,199.0,123.0,76.0,4.0
2021-07-22,473503,355012.0,118491.0,7308.0,6551.0,757.0,933.0,2.0,,587.0,346.0,2.0,0.0,220.0,131.0,89.0,2.0
2021-07-21,472605,354443.0,118162.0,7306.0,6549.0,757.0,963.0,2.0,,583.0,380.0,1.0,1.0,181.0,105.0,76.0,2.0
2021-07-20,471669,353875.0,117794.0,7304.0,6548.0,756.0,1054.0,3.0,,613.0,441.0,3.0,0.0,217.0,109.0,108.0,3.0
2021-07-19,470680,353300.0,117380.0,7301.0,6545.0,756.0,240.0,4.0,,160.0,80.0,4.0,0.0,56.0,38.0,18.0,4.0
2021-07-18,470440,353140.0,117300.0,7297.0,6541.0,756.0,250.0,5.0,,196.0,54.0,5.0,0.0,58.0,43.0,15.0,5.0
2021-07-17,470220,352964.0,117256.0,7292.0,6536.0,756.0,559.0,8.0,,339.0,220.0,8.0,0.0,105.0,64.0,41.0,8.0
2021-07-16,469710,352656.0,117054.0,7284.0,6528.0,756.0,541.0,3.0,,348.0,193.0,3.0,0.0,133.0,84.0,49.0,3.0
2021-07-15,469214,352335.0,116879.0,7281.0,6525.0,756.0,564.0,5.0,,348.0,216.0,4.0,1.0,117.0,68.0,49.0,5.0
2021-07-14,468680,352000.0,116680.0,7276.0,6521.0,755.0,669.0,5.0,,375.0,294.0,5.0,0.0,129.0,62.0,67.0,5.0
2021-07-13,468044,351639.0,116405.0,7271.0,6516.0,755.0,470.0,6.0,,251.0,219.0,6.0,0.0,102.0,54.0,48.0,6.0
2021-07-12,467612,351391.0,116221.0,7265.0,6510.0,755.0,164.0,2.0,,93.0,71.0,2.0,0.0,33.0,19.0,14.0,2.0
2021-07-11,467448,351298.0,116150.0,7263.0,6508.0,755.0,202.0,5.0,,160.0,42.0,5.0,0.0,43.0,32.0,11.0,5.0
2021-07-10,467246,351138.0,116108.0,7258.0,6503.0,755.0,368.0,3.0,,207.0,161.0,2.0,1.0,81.0,50.0,31.0,3.0
2021-07-09,466884,350926.0,115958.0,7255.0,6501.0,754.0,379.0,2.0,,255.0,124.0,2.0,0.0,89.0,53.0,36.0,2.0
2021-07-08,466545,350693.0,115852.0,7253.0,6499.0,754.0,337.0,3.0,,196.0,141.0,3.0,0.0,67.0,30.0,37.0,3.0
